,tf
0,ABTB1
1,AKT1
2,APEX1
3,ARID3B
4,ASH2L
5,ASXL1
6,ATF4
7,ATM
8,BCL3
9,BMI1
10,BMP4
11,BRCA1
12,BRCA2
13,BTG1
14,BTG2
15,CBX7
16,CCND1
17,CEBPZ
18,CHD7
19,CITED1
20,CITED2
21,CNOT8
22,CREB3
23,CREB3L2
24,CTNNBL1
25,DAB2
26,DDIT3
27,DEK
28,DNMT3A
29,DTX1
30,EED
31,EGR1
32,EHMT2
33,ELAVL2
34,ELF1
35,ELF2
36,ELF3
37,EP300
38,EPAS1
39,ERF
40,ESRRB
41,ETS1
42,ETV1
43,ETV4
44,ETV5
45,ETV6
46,EZH2
47,FOXA2
48,FOXH1
49,FOXO3
50,FOXQ1
51,GABPA
52,GATA4
53,GATA6
54,GLI2
55,GRIN1
56,GTF2I
57,H1F0
58,HCFC1
59,HDAC5
60,HIST1H1B
61,HIST1H1D
62,HMGA1
63,HMGA2
64,HNF1B
65,HOPX
66,HSF2BP
67,HSPB1
68,ID2
69,ID3
70,ILK
71,ING3
72,JARID2
73,JMJD1C
74,KAT2B
75,KDM5B
76,KEAP1
77,KLF10
78,KLF2
79,KLF3
80,KLF4
81,KLF6
82,KNTC1
83,KPNA2
84,LDB1
85,MAPK3
86,MCM2
87,MCM3
88,MCM4
89,MCM6
90,MCM7
91,MDM2
92,MIS18BP1
93,MPHOSPH8
94,MSC
95,MTF2
96,MYBBP1A
97,MYBL2
98,MYC
99,MYCN
100,NANOG
101,NCOA3
102,NCOR1
103,NFATC2IP
104,NFXL1
105,NFYA
106,NOTCH1
107,NOTCH4
108,NR0B1
109,NR2F6
110,NR5A2
111,NRF1
112,ORC2
113,PA2G4
114,PARP1
115,PCBD1
116,PEG3
117,PHC1
118,PHF20
119,PML
120,POLR1B
121,POU5F1
122,PREB
123,RAD54B
124,RAI14
125,RARG
126,RBBP7
127,RBPJ
128,RCOR2
129,REST
130,RFXAP
131,RLIM
132,RUNX1
133,RUVBL2
134,RYBP
135,SAP30
136,SATB2
137,SIN3A
138,SIRT1
139,SIX1
140,SMAD2
141,SMAD7
142,SMARCA2
143,SMARCAD1
144,SNAI1
145,SND1
146,SOX17
147,SOX2
148,SOX7
149,SP1
150,SREBF1
151,SRRT
152,SRSF3
153,SUZ12
154,TAX1BP3
155,TBX3
156,TCEA3
157,TCF12
158,TCF4
159,TCF7L2
160,TEAD1
161,TFCP2L1
162,TFEB
163,TGIF1
164,TIMELESS
165,TLE1
166,TRIM24
167,TRIM28
168,TRP53
169,UBTF
170,USF1
171,UTF1
172,WWTR1
173,XBP1
174,ZBTB10
175,ZBTB38
176,ZFP36L1
177,ZFP42
178,ZFP423
179,ZFP462
180,ZFPM1
181,ZIC3
182,ZSCAN10
