,Gene1,Gene2,weights_combined
855,ESRRB,SNHG3,781186.3794083282
862,ESRRB,SNORD93,781186.3794083282
856,ESRRB,SNORA17,781186.3794083282
361,ESRRB,GM10039,781186.3794083282
4,ESRRB,2410006H16RIK,781186.3794083282
343,ESRRB,GAS5,781186.3794083282
715,ESRRB,PVT1,781186.3794083282
17910,NANOG,2810025M15RIK,399923.77778823604
0,ESRRB,1110038B12RIK,390307.76258051186
35590,UTF1,GM4737,331165.86837261566
37686,ZFP42,ZFP987,324870.0666718997
17907,NANOG,1810032O08RIK,319994.8063911084
19281,NANOG,SULT5A1,266602.4722461471
34,ESRRB,AIRN,260206.00541534479
1044,SUZ12,1110038B12RIK,251798.27518537815
17968,NANOG,ANKDD1B,199967.51739428163
18625,NANOG,KRT42,177746.74728873375
18036,NANOG,AU018091,177726.6897945068
1082,SUZ12,AIRN,167865.3518189911
27972,SOX17,AU015836,167823.28113258805
36393,UTF1,SULT5A1,165600.1382079537
19076,NANOG,RPL39L,159957.1570344269
2,ESRRB,1810032O08RIK,156107.91639799016
18399,NANOG,FYB,145423.59450080927
19490,NANOG,ZFP979,145413.73270073452
18345,NANOG,FAM25C,145396.8829746092
19488,NANOG,ZFP936,133296.60930514245
36609,ZFP42,1810032O08RIK,129989.39568538372
17329,MYC,ZFP987,128361.10719793872
1046,SUZ12,2810025M15RIK,125864.35865139544
35135,UTF1,ANKDD1B,124210.13440008325
36295,UTF1,SLC26A10,124192.36776843522
19380,NANOG,TRIML2,123048.98269905303
18231,NANOG,DCAF12L1,123036.58091903158
19135,NANOG,SERPINB6C,114261.0098271228
19302,NANOG,TCEAL9,114254.45119345763
19099,NANOG,S100A11,114252.29280674236
18437,NANOG,GLMP,114251.50577070254
33612,TRIM28,2810025M15RIK,107961.35390025018
18550,NANOG,IFITM1,106640.11600394192
18158,NANOG,CKMT1,106635.9900271271
18907,NANOG,PGA5,106633.81971562334
28970,SOX2,KRT42,105571.92151765178
13372,JARID2,AIRN,105223.07985231515
18571,NANOG,INTS6L,99971.16612050364
19491,NANOG,ZFP980,99966.13385976416
25053,RUNX1,SLC26A10,99898.80280801342
35360,UTF1,CRYBG2,99363.64809552295
35858,UTF1,METTL27,99360.39828248399
36196,UTF1,RPL39L,99357.60744076261
22388,POU5F1,AU018091,97909.91601019104
828,ESRRB,SLC26A10,97539.76061931453
28637,SOX2,CRYBG2,95011.67539016627
18135,NANOG,CFC1,94100.93856960065
18056,NANOG,BEX3,94092.81182625005
18845,NANOG,NSD2,94087.67820480847
19492,NANOG,ZFP985,94084.5896845916
18995,NANOG,PTMS,94083.90997164813
36596,UTF1,ZFP979,90323.74162180044
35499,UTF1,FAM25C,90313.17787873303
18858,NANOG,OOEP,88869.5279000814
17909,NANOG,2410141K09RIK,88865.86699001737
23379,POU5F1,RPL39L,88120.97610523773
485,ESRRB,KRT42,86712.99297724667
29640,SOX2,ZFP979,86367.67166026327
10759,GATA4,ANKDD1B,85650.6386027183
17908,NANOG,2200002D01RIK,84192.01173077013
18864,NANOG,P3H2,84185.07746626774
