Gene1,Gene2
CBX7,TRIM2
CBX7,PPM1L
CBX7,TGFBR3
CBX7,FHDC1
CBX7,EGFLAM
CBX7,DSP
CBX7,NEFL
CBX7,COL27A1
CBX7,FGF3
CBX7,HTRA1
CBX7,ESRRB
CBX7,HOPX
CBX7,ADORA1
CBX7,NRG2
CBX7,GRB10
CBX7,FOXQ1
CBX7,LIMCH1
CBX7,SLCO3A1
CBX7,FGFR3
CBX7,SYNE2
CBX7,BMPER
CBX7,SFRP1
CBX7,TPM1
CBX7,NAV1
CBX7,BMP2
CBX7,CHST15
CBX7,CDH6
CBX7,LATS2
CBX7,ANKRD33B
CBX7,CLMP
CBX7,PTH1R
CBX7,GAS6
CBX7,GDPD5
CBX7,GNAS
CBX7,ADGRA2
CBX7,LYN
CBX7,LIPG
CBX7,PWWP2B
CBX7,SOX7
CBX7,THBD
CBX7,WNK2
CBX7,KCNQ5
CBX7,SEMA6A
CBX7,P3H2
CBX7,ZFPM1
CBX7,GADD45G
CBX7,LRRK1
CBX7,CITED1
CBX7,APP
CBX7,GREB1L
CBX7,FST
CBX7,COL4A2
CBX7,COL4A1
CBX7,CDC42EP1
CBX7,KHDC3
CBX7,SPOCK1
CBX7,VIM
CBX7,SLC39A8
CBX7,CACHD1
CBX7,MAPRE2
CBX7,CPEB2
CBX7,ST3GAL6
CBX7,CRTC3
CBX7,CTDSPL
CBX7,CAMK2D
CBX7,TNS1
CBX7,MAP3K5
CBX7,PODXL
CBX7,FRMD4A
CBX7,CYP26A1
CBX7,CCSER1
CBX7,CPM
CBX7,ZBTB10
CBX7,GPRC5C
CBX7,DTX1
CBX7,MRAS
CBX7,DKK1
CBX7,MYO5B
CBX7,IHH
CBX7,DDAH1
CBX7,SERPINE2
CBX7,L3MBTL3
CBX7,MAN1A
CBX7,PARVA
CBX7,EPAS1
CBX7,HMGA2
CBX7,CHN2
CBX7,SPNS2
CBX7,LRP2
CBX7,ID3
CBX7,PDE4DIP
CBX7,OBSL1
CBX7,BMI1
CBX7,P4HA2
CBX7,NRG1
CBX7,SATB2
CBX7,PHLDB2
CBX7,WLS
CBX7,FGF10
CBX7,DRAM1
CBX7,PTPN14
CBX7,KDELR3
CBX7,RUSC2
CBX7,SH3PXD2B
CBX7,IGF2
CBX7,MSC
CBX7,GALNT3
CBX7,EVA1A
CBX7,RRAGD
CBX7,ANK
CBX7,COBLL1
CBX7,CCND2
CBX7,SMARCA2
CBX7,EMP2
CBX7,HPCAL1
CBX7,ARHGAP29
CBX7,KLF4
CBX7,BMP4
CBX7,ETS1
CBX7,CPD
CBX7,NDRG1
CBX7,RETREG2
CBX7,CNPPD1
CBX7,STXBP5
CBX7,NOTUM
CBX7,SEMA4C
CBX7,HNF1B
CBX7,CAPN2
CBX7,HS3ST1
CBX7,MORC4
CBX7,MPDZ
CBX7,DPP4
CBX7,FAM114A1
CBX7,STC2
CBX7,ELAVL2
CBX7,BCAT1
CBX7,NID1
CBX7,MARCKS
CBX7,GSE1
CBX7,LAD1
CBX7,AFF1
CBX7,WNT11
CBX7,TIMP3
CBX7,VEGFA
CBX7,LOXL2
CBX7,IMPDH1
CBX7,PALLD
CBX7,COMMD3
CBX7,DPYSL3
CBX7,KIT
CBX7,MAPKAPK2
CBX7,KLF2
CBX7,TIMP2
CBX7,TGFBI
CBX7,NOTCH1
CBX7,PCSK6
CBX7,FABP3
CBX7,VCAN
CBX7,LAMA1
CBX7,EPHA4
CBX7,PLK2
CBX7,RASSF1
CBX7,GCNT1
CBX7,USP3
CBX7,CAR4
CBX7,SOX17
CBX7,PSD4
CBX7,LAMB1
CBX7,TTC7
CBX7,SFMBT2
CBX7,FOXA2
CBX7,AQP3
CBX7,FHOD1
CBX7,FSCN1
CBX7,PXDN
CBX7,KLHL22
CBX7,MT1
CBX7,MFSD1
CBX7,ARHGEF28
CBX7,OAT
CBX7,ARHGEF5
CBX7,GSN
CBX7,ITGA9
CBX7,PCDH19
CBX7,PDGFRA
CBX7,FGFR4
CBX7,CKB
CBX7,TENM4
CBX7,NLGN2
CBX7,ARFGEF1
CBX7,SHROOM3
CBX7,PIK3AP1
CBX7,ELF2
CBX7,RAP1GAP
CBX7,MICAL2
CBX7,SIX1
CBX7,MCAM
CBX7,RAMP2
CBX7,SEPT9
CBX7,LRRN4
CBX7,RUNX1
CBX7,CLCN5
CBX7,CEMIP
CBX7,GLI2
CBX7,HSPB1
CBX7,IGF2R
CBX7,GHR
CBX7,RBM47
CBX7,CDKN1A
CBX7,RHPN2
CBX7,TXNIP
CBX7,LRRC8C
CBX7,STARD10
CBX7,RTN1
CBX7,ECPAS
CBX7,HIPK2
CBX7,CDCA7
CBX7,WDR77
CBX7,LAMC2
CBX7,TCEA3
CBX7,ANXA5
CBX7,VANGL1
CBX7,PHLDA3
CBX7,TYRO3
CBX7,SFI1
CBX7,RREB1
CBX7,EIF4G3
CBX7,RFXAP
CBX7,DLGAP4
CBX7,PTPRG
CBX7,RHPN1
CBX7,RND3
CBX7,ADAM15
CBX7,KCNK1
CBX7,ANXA2
CBX7,B2M
CBX7,LTBR
CBX7,PRKAA2
CBX7,B3GNT5
CBX7,DNMT3A
CBX7,CERS6
CBX7,F2R
CBX7,ARHGEF40
CBX7,ZFP423
CBX7,SDC4
CBX7,SLC25A4
CBX7,UPP1
CBX7,EML1
CBX7,AMFR
CBX7,RBMS1
CBX7,STARD8
CBX7,MME
CBX7,GPC3
CBX7,FURIN
CBX7,MYC
CBX7,BANP
CBX7,BCAR3
CBX7,PPIC
CBX7,ZYX
CBX7,LY75
CBX7,MTF2
CBX7,RNPEP
CBX7,NSMAF
CBX7,KRT8
CBX7,DUSP9
CBX7,CLTC
CBX7,PCOLCE2
CBX7,JAM2
CBX7,IGFBP2
CBX7,TCF12
CBX7,ABHD5
CBX7,RASGRP2
CBX7,REEP5
CBX7,NR0B1
CBX7,GATA6
CBX7,DAB2
CBX7,PARVB
CBX7,KRT19
CBX7,GJB3
CBX7,GATA4
CBX7,QSOX1
CBX7,CTSC
CBX7,FAM107B
CBX7,BAIAP2
CBX7,TRH
CBX7,KRT18
CBX7,PLXNA1
CBX7,PANX1
CBX7,SELENOI
CBX7,GRTP1
CBX7,FNDC3B
CBX7,ESRP2
CBX7,ATG16L2
CBX7,GGTA1
CBX7,DST
CBX7,SNX7
CBX7,TBX3
CBX7,SLC44A3
CBX7,LEFTY2
CBX7,STAG3
CBX7,SNAI1
CBX7,BNC2
CBX7,FLNB
CBX7,F3
CBX7,SMS
CBX7,SORL1
CBX7,MT2
CBX7,UHRF2
CBX7,TCF15
CBX7,HSPA4
CBX7,TUBB6
CBX7,EPHB3
CBX7,DCAF12L1
CBX7,NID2
CBX7,CD63
CBX7,AMN
CBX7,MVB12B
CBX7,P4HA1
CBX7,PHGDH
CBX7,LAMA5
CBX7,CHD7
CBX7,ZFP36L1
CBX7,LITAF
CBX7,GLDC
CBX7,VSIR
CBX7,ME1
CBX7,ILDR1
CBX7,RETREG1
CBX7,LAMP1
CBX7,RHOB
CBX7,LDHB
CBX7,SGK1
CBX7,SLC7A1
CBX7,HIST1H1D
CBX7,CAR2
CBX7,CHCHD7
CBX7,GFPT2
CBX7,ERLIN1
CBX7,ATP1B1
CBX7,CMKLR1
CBX7,PROS1
CBX7,FLRT3
CBX7,GLIPR2
CBX7,SP1
CBX7,PLEKHF2
CBX7,SLC7A6
CBX7,RPL10L
CBX7,TLE1
CBX7,NPM1
CBX7,SELENOW
CBX7,UBE2E1
CBX7,BEND5
CBX7,PRPS2
CBX7,NAT10
CBX7,HIP1
CBX7,WWTR1
CBX7,MYMX
CBX7,SRGAP2
CBX7,MID1IP1
CBX7,CKAP4
CBX7,SLC6A8
CBX7,FGF4
CBX7,NR5A2
CBX7,ACBD4
CBX7,MOB3B
CBX7,1700019D03RIK
CBX7,PDPN
CBX7,RCN1
CBX7,TMEM9
CBX7,RDM1
CBX7,ASS1
CBX7,TIMM23
CBX7,TUBA4A
CBX7,TMSB4X
CBX7,EGR1
CBX7,MAGI1
CBX7,ID2
CBX7,COTL1
CBX7,FBXO2
CBX7,LGALS3
CBX7,COBL
CBX7,PFKP
CBX7,GLUL
CBX7,ST6GALNAC2
CBX7,SPATA13
CBX7,MAP4K4
CBX7,SERPINH1
CBX7,RAB3IL1
CBX7,H1F0
CBX7,PTBP3
CBX7,ZFP704
CBX7,TPM4
CBX7,FXYD6
CBX7,DAP
CBX7,TBRG1
CBX7,ANP32A
CBX7,LY6E
CBX7,GNG10
CBX7,GALNT2
CBX7,SMYD2
CBX7,MSL3
CBX7,HEBP1
CBX7,EPS8
CBX7,RARG
CBX7,CRYAB
CBX7,CREB3L2
CBX7,ADAM19
CBX7,RNF157
CBX7,BASP1
CBX7,FN1
CBX7,MPZL2
CBX7,SLC26A10
CBX7,ADGRE5
CBX7,PPT2
CBX7,CPT1A
CBX7,DPF1
CBX7,AHDC1
CBX7,PDLIM1
CBX7,PDGFA
CBX7,NFXL1
CBX7,FRS2
CHD7,SFI1
CHD7,MTF2
CHD7,LRPAP1
CHD7,FAM169A
CHD7,ABCG2
CHD7,SUN1
CHD7,SPP1
CHD7,1700019D03RIK
EHMT2,CDH1
EHMT2,ZFP990
EP300,ISY1
EP300,CLTC
EP300,VARS
EP300,MTF2
EP300,SRXN1
EP300,CDIPT
EP300,TXNIP
EP300,UAP1
EP300,PITHD1
EP300,MSH6
EP300,SUN1
EP300,GPN3
EP300,SELENOW
EP300,ATP6V0A1
EP300,BCAT1
EP300,GNB2
EP300,RUNX1
EP300,NSUN2
EP300,DDIT3
EP300,AHCYL2
EP300,UBLCP1
EP300,SLC3A2
EP300,CALM1
EP300,SLC39A4
EP300,CNDP2
EP300,UCKL1
EP300,ASAH1
EP300,POLG
EP300,TGIF1
EP300,UBA2
EP300,FLCN
EP300,SHISA5
EP300,SLC7A1
EP300,NUF2
EP300,MCM4
EP300,ATG16L2
EP300,SETX
EP300,TMEM39A
EP300,SEC61A1
EP300,APOBEC3
EP300,ODC1
EP300,SKP1A
EP300,SEPT11
EP300,SLC2A3
EP300,NOP56
EP300,PLSCR1
EP300,JMJD1C
EP300,KDM3A
EP300,MRPS5
EP300,ETV6
EP300,EED
EP300,AMDHD2
EP300,PPM1L
EP300,TFRC
EP300,HSP90AB1
EP300,GNAI3
EP300,CDT1
EP300,SFI1
EP300,RBPJ
EP300,ARF4
EP300,SPP1
EP300,MAT2A
EP300,SELENOK
EP300,CALM2
EP300,HIST1H4K
EP300,DUSP6
EP300,IFRD1
EP300,GCNT1
EP300,LBR
