,cell
1,RamDA_mESC_00h_C01
2,RamDA_mESC_00h_D04
3,RamDA_mESC_00h_F06
4,RamDA_mESC_00h_G04
5,RamDA_mESC_00h_F07
6,RamDA_mESC_00h_B01
7,RamDA_mESC_00h_A07
8,RamDA_mESC_00h_D12
9,RamDA_mESC_00h_G03
10,RamDA_mESC_00h_F11
11,RamDA_mESC_00h_B07
12,RamDA_mESC_00h_A08
13,RamDA_mESC_00h_C04
14,RamDA_mESC_00h_B05
15,RamDA_mESC_00h_H02
16,RamDA_mESC_00h_D10
17,RamDA_mESC_00h_G10
18,RamDA_mESC_00h_A05
19,RamDA_mESC_00h_F01
20,RamDA_mESC_00h_H01
21,RamDA_mESC_00h_F05
22,RamDA_mESC_00h_H03
23,RamDA_mESC_00h_A04
24,RamDA_mESC_00h_B03
25,RamDA_mESC_00h_H05
26,RamDA_mESC_00h_F09
27,RamDA_mESC_00h_C08
28,RamDA_mESC_00h_B04
29,RamDA_mESC_00h_C02
30,RamDA_mESC_00h_B06
31,RamDA_mESC_00h_G12
32,RamDA_mESC_00h_C05
33,RamDA_mESC_00h_C07
34,RamDA_mESC_00h_F12
35,RamDA_mESC_00h_E09
36,RamDA_mESC_00h_A12
37,RamDA_mESC_00h_G07
38,RamDA_mESC_00h_B08
39,RamDA_mESC_00h_H09
40,RamDA_mESC_00h_E11
41,RamDA_mESC_00h_B02
42,RamDA_mESC_00h_D07
43,RamDA_mESC_00h_A06
44,RamDA_mESC_00h_F10
45,RamDA_mESC_00h_A09
46,RamDA_mESC_00h_H10
47,RamDA_mESC_00h_F02
48,RamDA_mESC_00h_E03
49,RamDA_mESC_00h_G06
50,RamDA_mESC_00h_B10
51,RamDA_mESC_00h_H04
52,RamDA_mESC_00h_D03
53,RamDA_mESC_00h_D02
54,RamDA_mESC_00h_E04
55,RamDA_mESC_00h_E05
56,RamDA_mESC_00h_G05
57,RamDA_mESC_00h_E08
58,RamDA_mESC_00h_G11
59,RamDA_mESC_00h_G01
60,RamDA_mESC_00h_E01
61,RamDA_mESC_00h_G08
62,RamDA_mESC_00h_F08
63,RamDA_mESC_00h_H06
64,RamDA_mESC_00h_B12
65,RamDA_mESC_00h_H08
66,RamDA_mESC_00h_E06
67,RamDA_mESC_00h_D05
68,RamDA_mESC_00h_D01
69,RamDA_mESC_00h_D08
70,RamDA_mESC_00h_B09
71,RamDA_mESC_00h_G02
72,RamDA_mESC_00h_C06
73,RamDA_mESC_00h_C11
74,RamDA_mESC_00h_E02
75,RamDA_mESC_00h_G09
76,RamDA_mESC_00h_C10
77,RamDA_mESC_00h_F03
78,RamDA_mESC_00h_B11
79,RamDA_mESC_00h_H12
80,RamDA_mESC_00h_D11
81,RamDA_mESC_00h_H11
82,RamDA_mESC_00h_D06
83,RamDA_mESC_00h_C09
84,RamDA_mESC_00h_E12
85,RamDA_mESC_00h_C03
86,RamDA_mESC_00h_F04
87,RamDA_mESC_00h_H07
88,RamDA_mESC_00h_E10
89,RamDA_mESC_00h_D09
90,RamDA_mESC_00h_E07
91,RamDA_mESC_12h_E01
92,RamDA_mESC_12h_C03
93,RamDA_mESC_12h_A12
94,RamDA_mESC_12h_A04
95,RamDA_mESC_12h_C07
96,RamDA_mESC_12h_H10
97,RamDA_mESC_12h_G03
98,RamDA_mESC_12h_H09
99,RamDA_mESC_12h_H12
100,RamDA_mESC_12h_B06
101,RamDA_mESC_12h_A09
102,RamDA_mESC_12h_E12
103,RamDA_mESC_12h_H02
104,RamDA_mESC_12h_C12
105,RamDA_mESC_12h_E02
106,RamDA_mESC_12h_H06
107,RamDA_mESC_12h_H07
108,RamDA_mESC_12h_F06
109,RamDA_mESC_12h_C05
110,RamDA_mESC_12h_D09
111,RamDA_mESC_12h_G05
112,RamDA_mESC_12h_F10
113,RamDA_mESC_12h_E08
114,RamDA_mESC_12h_C02
115,RamDA_mESC_12h_D08
116,RamDA_mESC_12h_D07
117,RamDA_mESC_12h_A06
118,RamDA_mESC_12h_F03
119,RamDA_mESC_12h_F07
120,RamDA_mESC_12h_D04
121,RamDA_mESC_12h_D05
122,RamDA_mESC_12h_H05
123,RamDA_mESC_12h_D11
124,RamDA_mESC_12h_G06
125,RamDA_mESC_12h_C04
126,RamDA_mESC_12h_B11
127,RamDA_mESC_12h_D02
128,RamDA_mESC_12h_B05
129,RamDA_mESC_12h_A05
130,RamDA_mESC_12h_C11
131,RamDA_mESC_12h_D10
132,RamDA_mESC_12h_E09
133,RamDA_mESC_12h_F02
134,RamDA_mESC_12h_B02
135,RamDA_mESC_12h_H01
136,RamDA_mESC_12h_H11
137,RamDA_mESC_12h_H08
138,RamDA_mESC_12h_F11
139,RamDA_mESC_12h_E10
140,RamDA_mESC_12h_C09
141,RamDA_mESC_12h_G01
142,RamDA_mESC_12h_E07
143,RamDA_mESC_12h_B12
144,RamDA_mESC_12h_G08
145,RamDA_mESC_12h_G12
146,RamDA_mESC_12h_B08
147,RamDA_mESC_12h_F12
148,RamDA_mESC_12h_C10
149,RamDA_mESC_12h_B09
150,RamDA_mESC_12h_F01
152,RamDA_mESC_12h_A08
153,RamDA_mESC_12h_E05
154,RamDA_mESC_12h_E11
155,RamDA_mESC_12h_G09
156,RamDA_mESC_12h_G07
157,RamDA_mESC_12h_D12
158,RamDA_mESC_12h_B10
160,RamDA_mESC_12h_B07
151,RamDA_mESC_24h_C05
159,RamDA_mESC_24h_A05
161,RamDA_mESC_24h_D07
162,RamDA_mESC_24h_F07
163,RamDA_mESC_24h_F02
164,RamDA_mESC_24h_G08
165,RamDA_mESC_24h_G06
166,RamDA_mESC_24h_G05
167,RamDA_mESC_24h_B05
168,RamDA_mESC_24h_D12
169,RamDA_mESC_24h_E09
170,RamDA_mESC_24h_D05
171,RamDA_mESC_24h_D06
172,RamDA_mESC_24h_G07
173,RamDA_mESC_24h_H04
174,RamDA_mESC_24h_B02
175,RamDA_mESC_24h_B04
176,RamDA_mESC_24h_A09
177,RamDA_mESC_24h_H02
179,RamDA_mESC_24h_A11
180,RamDA_mESC_24h_D02
181,RamDA_mESC_24h_E08
182,RamDA_mESC_24h_A06
183,RamDA_mESC_24h_B12
184,RamDA_mESC_24h_E04
185,RamDA_mESC_24h_H08
186,RamDA_mESC_24h_H06
187,RamDA_mESC_24h_F11
188,RamDA_mESC_24h_D11
189,RamDA_mESC_24h_H10
190,RamDA_mESC_24h_E07
191,RamDA_mESC_24h_E01
192,RamDA_mESC_24h_F06
193,RamDA_mESC_24h_G01
194,RamDA_mESC_24h_F08
195,RamDA_mESC_24h_C08
196,RamDA_mESC_24h_A10
197,RamDA_mESC_24h_F01
198,RamDA_mESC_24h_F10
199,RamDA_mESC_24h_C02
200,RamDA_mESC_24h_H11
201,RamDA_mESC_24h_H07
202,RamDA_mESC_24h_B10
