wt-1,wt-2,wt-3,ko-1,ko-2,ko-3,GeneName
38.91232482,45.88336501,38.07889871,47.34776364,44.1738745,44.82100094,Gnai3
41.12005314,43.59574648,48.14048572,40.874783,42.69460001,41.86184631,Cdc45
160.7085507,239.9177293,108.0108884,216.6610892,286.5039862,143.8227565,H19
0.388317906,0.54781139,0.30943752,0.336042862,0.34520044,0.357714097,Scml2
6.219858917,18.53175874,3.028909301,7.805857488,9.255272541,7.222265833,Apoh
109.0407346,105.1946344,115.5414204,98.22587636,88.3195907,100.7931031,Narf
0.465139813,0.203407184,0.263218287,0.389795063,0.495754944,0.32601859,Cav2
14.54581494,12.28892962,17.37844852,23.0779974,20.40502354,23.3193895,Klf6
3.768769614,3.988446512,4.339123083,2.882568956,3.364164153,3.226400047,Scmh1
12.48748746,11.91706813,12.89263107,12.3158136,13.01463364,11.71990142,Cox5a
0.223205536,0.306135819,0.207509177,0.358512558,0.491043284,0.211661918,Tbx2
0,0,0,0.036402922,0.018697473,0.018805403,Tbx4
0.11743228,0.053687777,0.109174155,0.03592755,0.258346336,0.092799153,Ngfr
0,0,0,0,0,0.02079232,Wnt3
0,0,0.018835193,0.037190248,0.057305592,0,Wnt9a
3.883977707,4.7943355,3.95387734,5.240291244,4.138025856,4.567054341,Fer
6.64088798,6.236186461,6.43329139,7.06471738,7.400054216,7.465450546,Xpo6
3.663208321,3.296224294,3.452996615,4.043992749,4.442586992,3.777623955,Tfe3
0.342983589,0.190406669,0.182208082,0.292314271,0.334927907,0.243934018,Axin2
3.067182664,3.133869401,2.648537783,3.225897428,3.375555031,3.426092468,Brat1
15.75565801,14.74937561,13.21595329,15.11336136,15.87891096,15.24038101,Gna12
0.595455617,0.98003103,0.590487168,0.765136277,0.711131254,0.865812275,Slc22a18
5.375406626,3.549769018,3.972288232,5.334298907,6.757531626,4.509242336,Itgb2l
0.024383685,0.08918201,0.022668965,0.134280192,0.04597983,0.046245247,Igsf5
0.191810232,0.591920625,0.200611875,0.396109858,0.339086946,0.295571736,Pih1d2
13.32064845,15.43627246,11.76792072,15.17805888,15.57866477,15.44606387,Dlat
131.8223611,143.5778925,132.0773433,143.9713818,140.0945293,135.343984,Sdhd
0,0.03399634,0,0,0,0,Fgf23
5.856391534,5.957853993,4.578224965,7.717336217,7.008496036,6.688687586,Ccnd2
2.530650612,2.845312003,2.848767553,2.754269122,2.829326321,3.010987229,Gpr107
0.493418999,0.466720686,0.506174419,0.390408478,0.994598014,0.306555588,Slfn4
0.283880489,0.30283095,0.395875977,0.484919008,0.379176356,0.39632063,Drp2
29.92518845,26.99642017,26.34223145,29.99831113,27.55163209,27.85430441,Tspan32
0.184234754,0.112304776,0.0999127,0.253643758,0.260555861,0.11647107,Lhx2
0.04737989,0.043322346,0,0,0,0.022464762,Clec2g
204.3101099,192.4147745,239.2028758,190.6926701,194.6848166,203.6828198,Gmpr
0.083122101,0.114005472,0.023183025,0.137325244,0.148904609,0.078823239,Mid2
14.24157222,14.79035745,14.13363851,18.78396453,17.88126354,18.81812644,Trim25
0.643331564,0.911768289,0.568186368,0.915225095,0.849182281,1.029476428,Dgke
6.0787585,9.263637764,6.907126503,5.785894609,5.549351107,6.099873755,Scpep1
6.603135642,6.290887812,5.556076515,7.572334835,7.998582513,8.113866977,Mnt
21.8335287,16.83177486,16.02484856,19.34981081,20.96056551,15.63304506,Itgb2
2.903146011,3.797201184,2.430878119,3.370440466,2.88221971,3.026479837,Hddc2
0.203916169,0.233066364,0.094788142,0.046789999,0.096130167,0,Tpd52l1
1.250173784,1.377595018,1.400670504,1.29455295,1.299607665,1.33750749,Pemt
1.725207024,4.004328796,1.014423777,2.151859153,2.224402459,1.552087139,Cdh1
0.037175292,0.042489569,0.008640259,0.059710924,0.035050354,0.026439511,Cdh4
0,0,0,0,0.025476805,0.025623869,Ckmt1
0.83422494,1.094428007,0.573240148,0.898836002,1.060120067,0.498724957,Bcl6b
0.186120105,0.063817896,0.086515842,0.085413133,0.175481491,0.110309031,Clec10a
12.6305101,13.76804316,7.997044693,30.62577802,24.79780606,14.52931692,Alox12
1.553603173,1.737300258,1.766401007,2.736264562,3.087955308,2.926600753,Arvcf
7.937871769,7.160660281,20.80172954,12.41975099,4.194134118,2.2480998,Comt
9.506913465,10.03767242,9.938990501,11.82087098,11.39886462,10.03583352,Rtca
3.827539381,4.881236676,3.483464232,4.234117548,4.311515503,3.706001256,Dbt
156.6458939,164.5754607,161.3572682,172.2169196,160.7165038,163.2203952,Dazap2
10.56113121,13.4644115,12.25310207,14.61876222,12.34562834,13.19040428,Mcts1
0.062565188,0,0,0.057424089,0,0,Rem1
0.825379214,0.946363527,0.937855755,1.07019852,0.877019712,1.167827229,Rnf17
20.97707306,20.09868782,23.32823881,18.36988706,19.08172574,20.63972361,Trappc10
15.52749872,15.10613346,15.75255593,12.32659926,12.97474053,11.68884565,Ccm2
31.55110303,31.46872644,30.94401993,33.81561063,33.70482042,32.37659007,Tbrg4
0.128101183,0.546610345,0.039697598,0.313532983,0.32207714,0.344182335,Tmprss2
0.591949735,0.541256039,0.481532083,0.458416222,0.523231804,0.684127777,Mx1
0.011911917,0.043567192,0.033222725,0.043732369,0.056155162,0.101662767,Fap
49.11531057,53.42133991,53.06272693,53.034604,53.90479655,53.97242914,Ndufa9
0,0.022806716,0,0.068679551,0.094068203,0.165569613,Egfl6
3.454008512,3.221376605,3.360966173,2.345937755,2.45328846,2.314599075,Lck
1.159215628,1.011762937,0.538848373,0.580342203,0.695516777,0.599598528,Tssk3
0.213893719,0.230500496,0.198852189,0.056090763,0.086428957,0.108659831,Cttnbp2
52.26733686,61.57996789,54.72680734,70.07990502,62.1613731,70.46993825,Galnt1
2.262618005,1.857563876,1.781266078,2.235760398,1.978964019,2.063429243,Mkrn2
0.639508175,0.751810687,0.424668853,0.565995782,0.732158341,0.628092825,Pparg
5.675453204,5.504744915,6.06412853,5.399005332,5.731934985,6.26957857,Raf1
15.47604162,11.60624943,11.39217619,18.88685158,20.6673596,19.53668361,1-Sep
2.218898628,2.958776695,0.96696574,6.343059402,4.532810796,3.441150337,Pdgfb
0.838124141,0.882023671,0.382241796,0.580568988,1.028773099,0.539849554,Acvrl1
0.603087388,0.582075429,0.467230672,0.645785661,0.663384109,0.667213464,Grasp
4.432161599,3.731184934,2.486497243,5.709175054,5.40364593,4.724686037,Acvr1b
2.570369825,2.512090542,2.718723796,2.274397559,2.437959309,2.641772915,Tom1l2
13.07101753,12.9745227,7.800162161,15.75274864,15.37709225,12.36710131,Zfp385a
6.847775342,8.052280231,5.265191097,7.190912846,7.15782365,6.104872301,Itga5
5.698226938,6.547831239,4.261325177,5.94608,5.267430743,5.786664579,Wdr77
0.560687439,0.347293258,0.353110614,0.398411381,0.306951433,0.24011812,Adora3
64.65216779,79.56173701,76.73974116,74.7663602,72.52834909,73.13397945,Atp5f1
0,0.044741978,0,0,0.076892509,0,Sox9
37.36361731,42.73416623,39.72399748,43.41807755,45.31897497,46.93729679,Hnrnpd
0.660702964,0.832707799,0.747049518,0.819475355,0.942823907,0.40639985,Dynlt1c
8.711329364,11.09894113,9.370039209,10.41274822,9.693710671,10.30999288,C1d
5.523746604,5.528874047,3.980619656,4.949853538,4.622493722,4.308237223,Gm2a
2.678922659,2.923601196,2.920926124,3.028164872,2.921542384,3.13156906,Krit1
4.711337429,5.436972145,4.767572738,5.38539517,5.183613249,5.094198417,Clcn4
0.323478527,0.12513613,0.196631628,0.102772277,0.129033602,0.094384322,Grm6
0.012749579,0,0.011852997,0.035105767,0.036062442,0.03627061,Sema4f
7.536605296,5.424093481,5.504445408,7.207690065,7.691750047,6.375359342,Hk2
10.13971147,10.53651221,10.04441934,11.12844262,11.89563609,12.05204133,Myo18a
5.629638162,6.964297607,4.207523082,5.724270067,6.348602984,4.867444679,Haao
15.96640411,12.72872215,15.4774982,15.48882982,17.08950597,13.20093361,Cd52
0.622229865,0.406387875,0.351215834,0.36713576,0.356188399,0.35824448,Abhd15
0,0,0,0,0.032377854,0.032564754,Hoxb6
0.556793476,0.763665765,0.44952808,0.860700146,0.911785129,0.708628284,Loxl3
3.515454091,3.418235564,4.0334849,1.086020497,0.970100767,1.170840756,Btn1a1
7.483141022,9.389150553,10.30653071,6.003348152,6.284536809,7.122414129,Kat2b
20.8227848,20.47816167,21.00028925,20.14321141,20.10179953,19.33482836,Rab5b
0.042311965,0.038688432,0.078672969,0,0.039893416,0.040123699,Cryba1
0.022572046,0,0.020984724,0.041434517,0,0.064214032,Dnmt3l
