,Gene1,Gene2,weights_combined
53144,SPI1,CLDN13,6516200.987814956
57512,STAT3,WFDC18,3920246.0718389642
53914,SPI1,LY6G,3521028.945249537
52816,SPI1,ADGRL4,2645639.668262513
14647,GATA1,NXPE2,2251249.1534866593
36734,MEIS1,LY6G,2117956.1896186518
53568,SPI1,GM5111,2049290.6674624758
55975,STAT3,GIMAP3,1902686.4572699878
54031,SPI1,MS4A4B,1665897.360784425
8304,ESR1,ADGRD1,1457779.596561878
38971,MYC,C1QTNF12,1455281.734159003
13609,GATA1,BTNL9,1410275.5717996163
53816,SPI1,JCHAIN,1375120.830245163
13647,GATA1,CAVIN2,1365507.3816363981
39093,MYC,CES2G,1302861.545521601
30111,IKZF1,GIMAP3,1290715.2763247963
39715,MYC,IFITM1,1282404.9051103427
23525,HCFC1,CES2G,1281827.025623437
52813,SPI1,ADGRD1,1280252.7175898827
53870,SPI1,LBHD1,1274227.4357448958
26162,HDAC2,GIMAP3,1261755.3578850916
15119,GATA1,SMIM1,1219513.3119191318
55989,STAT3,GM5111,1197426.047688065
13431,GATA1,5430427O19RIK,1149655.6740495453
14279,GATA1,IL1RL1,1134767.142392423
26475,HDAC2,LBHD1,1130012.8105251656
38818,MYC,ALDH1A7,1122272.8574847244
39792,MYC,JCHAIN,1115759.2276203171
14246,GATA1,I830077J02RIK,1111747.068292595
15449,GATA1,VWF,1109058.8678051739
53740,SPI1,IFITM1,1085025.4489193573
56437,STAT3,MS4A4B,1074509.5612450826
38796,MYC,ADGRG3,1073344.0561431888
53564,SPI1,GM1966,1058882.6216803459
14795,GATA1,PPFIA4,1042873.6137107853
13713,GATA1,CELA1,1029343.753673306
15359,GATA1,TSPO2,997602.05596154
13795,GATA1,CPA3,987704.4786374281
18072,GFI1,BPIFB5,980640.5474444297
30121,IKZF1,GM5111,962292.2142717508
18660,GFI1,HBA-A2,961294.1307187731
23994,HCFC1,HBA-A1,953953.4036196622
8328,ESR1,ALDH1A7,941896.0115302596
38795,MYC,ADGRG1,935709.0171636975
14170,GATA1,GYPA,932495.798358543
14887,GATA1,RAB7B,932129.2508309992
25602,HDAC2,C1QTNF12,929495.987252284
14505,GATA1,MS4A2,929284.8547225472
13816,GATA1,CSRP3,923302.7291939561
26177,HDAC2,GM5111,922851.5985794236
35341,JUN,SIGLECF,919143.5821462437
14838,GATA1,PRSS57,919129.2012579421
25726,HDAC2,CES2G,905585.1409375874
15859,GATA2,CES2G,898946.9428852004
14931,GATA1,RHAG,894679.4647478245
52960,SPI1,BC035044,892394.4122758292
35308,JUN,SERPINB6B,880398.7041247198
14531,GATA1,MYLK3,877629.4461540168
53734,SPI1,IFI27L2A,873306.8926631788
18659,GFI1,HBA-A1,870776.7155596925
38794,MYC,ADGRD1,867107.4606531302
33748,JUN,C1QTNF12,854341.1831097795
33718,JUN,BC035044,850246.819227622
53328,SPI1,DRC7,849227.9038464064
52815,SPI1,ADGRG3,843214.1767778134
23995,HCFC1,HBA-A2,843103.5994382777
13425,GATA1,2210016F16RIK,838259.9706257883
35610,JUN,TMEM273,837935.4218469046
13976,GATA1,EPX,836778.0577230543
14140,GATA1,GP9,834635.311084571
14106,GATA1,GDF3,832583.8836958006
54649,SPI1,SIGLECF,831229.446183595
8860,ESR1,F830016B08RIK,830741.9375552193
10141,ESR1,SULT1A1,830071.620753058
14933,GATA1,RHD,828345.638204555
34296,JUN,GM12250,827187.2829837565
15122,GATA1,SMIM5,822149.587407506
14506,GATA1,MS4A3,819098.8892027456
39861,MYC,LGALS9,818873.9986731972
54816,SPI1,SULT1A1,816191.92424639
54925,SPI1,TMEM273,811801.060667333
18911,GFI1,MCPT8,807862.9956140695
39630,MYC,HBA-A1,806833.9301888336
23549,HCFC1,CLCA3A1,801319.1002082592
52838,SPI1,ALDH1A7,800784.3096182242
40852,MYC,TGTP2,798529.4175223461
15095,GATA1,SLC38A5,795676.4545478778
15577,GATA2,ADGRG3,793289.5878601676
18126,GFI1,CCL6,787040.6998416882
14337,GATA1,KEL,783915.4086733179
38914,MYC,ATP5B,780538.0808400535
39037,MYC,CD24A,780522.4052535314
13443,GATA1,ABCG4,775479.2569767871
54619,SPI1,SERPINB6B,774206.52758211
53563,SPI1,GM12250,770811.7536974561
39708,MYC,IFI27,768190.0612218193
13856,GATA1,D630039A03RIK,767415.4495949554
9345,ESR1,MCPT8,766427.380547102
15154,GATA1,SPON2,761016.5112474571
15358,GATA1,TSPAN8,756495.3348981877
24528,HCFC1,PHETA2,754375.2171134669
15152,GATA1,SPNS3,741972.0008318741
54336,SPI1,PLPPR3,737878.8446448499
39983,MYC,MNDAL,736712.7420726925
35563,JUN,TGTP1,734689.264934549
13635,GATA1,CAR1,729851.7129697475
8596,ESR1,CLCA3A1,729047.025251576
26346,HDAC2,IFITM1,726113.5752450849
30277,IKZF1,IFITM1,725418.6638728441
13526,GATA1,AQP1,723003.4045056178
53258,SPI1,CYP2J9,721833.7753358092
14203,GATA1,HEMGN,713157.6806337342
35304,JUN,SERPINA3G,712598.6769281386
53226,SPI1,CTLA2A,712066.6393690342
17337,GATA2,SIGLECF,710102.2005628685
52974,SPI1,BPIFB5,707266.503668136
39888,MYC,LY6C2,706107.4303819167
