Gene1,Gene2,Score
BMI1,MECOM,1016.0
BMI1,GFI1,672.0
BMI1,RUNX2,866.0
BMI1,ZFP521,695.0
BMI1,OASL1,291.0
BMI1,GATA2,375.0
BMI1,PPM1H,617.0
BMI1,ARPP21,281.0
BMI1,ESR1,459.0
BMI1,ARMC8,638.0
BMI1,TRIB2,524.0
BMI1,AP1S2,380.0
BMI1,MLKL,467.0
BMI1,ZEB2,371.0
BMI1,ATP7B,334.0
BMI1,ALG11,334.0
BMI1,HOXA9,337.0
BMI1,KIT,402.0
BMI1,H2-Q6,401.0
BMI1,KAZALD1,337.0
BMI1,MYO1D,331.0
BMI1,S1PR1,256.0
BMI1,TOX,390.0
BMI1,ADAM22,397.0
BMI1,HLF,265.0
BMI1,SFRP1,298.0
BMI1,SLC35D3,268.0
BMI1,RETREG1,238.0
BMI1,IRF8,349.0
BMI1,FNDC3A,263.0
BMI1,GOLM1,206.0
BMI1,SOCS2,293.0
BMI1,LCP1,332.0
BMI1,ITPR1,239.0
BMI1,H2-Q7,275.0
BMI1,ASNS,168.0
BMI1,SLC6A15,261.0
BMI1,ITGB5,251.0
BMI1,NR3C2,242.0
BMI1,TMEM56,258.0
BMI1,IKZF1,198.0
BMI1,MLLT3,268.0
BMI1,EYA1,187.0
BMI1,RBM11,244.0
BMI1,SPATA13,215.0
BMI1,MAN1A,279.0
BMI1,CD38,237.0
BMI1,RNF125,232.0
BMI1,TIFA,228.0
BMI1,SPHK1,159.0
BMI1,EMP1,226.0
BMI1,MEF2C,255.0
BMI1,BCL2,220.0
BMI1,TSPAN33,152.0
BMI1,DHRS3,138.0
BMI1,MAML3,253.0
BMI1,FAM171A1,202.0
BMI1,ITGA5,186.0
BMI1,GATM,212.0
BMI1,RHOJ,173.0
BMI1,NFATC2,181.0
BMI1,TM6SF1,293.0
BMI1,FKBP9,148.0
BMI1,PIK3C3,155.0
BMI1,NARS,277.0
BMI1,IRAK3,277.0
BMI1,SQOR,134.0
BMI1,TUBA4A,165.0
BMI1,IGF1,173.0
BMI1,IRF5,185.0
BMI1,LYSMD3,132.0
BMI1,STX11,231.0
BMI1,GFI1B,136.0
BMI1,METAP1D,115.0
BMI1,PLCG2,124.0
BMI1,ARHGAP29,208.0
BMI1,NDNF,127.0
BMI1,SGO1,199.0
BMI1,PRUNE2,195.0
BMI1,PALLD,190.0
BMI1,ST8SIA4,187.0
BMI1,SNX10,183.0
BMI1,SLC25A21,104.0
BMI1,PSMF1,174.0
BMI1,PDE4B,173.0
BMI1,BTBD10,173.0
BMI1,OCLN,168.0
BMI1,KLHL12,166.0
BMI1,B3GNT5,103.0
BMI1,MYO5C,161.0
BMI1,TSPAN13,160.0
BMI1,WDR75,154.0
BMI1,FRRS1,153.0
BMI1,PRKCH,151.0
BMI1,ISLR,150.0
BMI1,DPY19L4,149.0
BMI1,GNB4,148.0
BMI1,ST3GAL6,147.0
BMI1,ANGPT1,147.0
