,Gene1,Gene2,weights_combined
41601,SPI1,CLDN13,2278297.2326964913
42371,SPI1,LY6G,1138784.1369392332
41273,SPI1,ADGRL4,1048481.3079216639
13921,GATA2,CES2G,922651.7231401812
32887,MEIS1,LY6G,840667.8258230126
6366,ESR1,ADGRD1,672117.7388067198
28173,IKZF1,GIMAP3,619758.3760198745
34949,MYC,ADGRG3,611442.8864296556
35945,MYC,JCHAIN,597694.0657893596
35868,MYC,IFITM1,596119.9336167296
24224,HDAC2,GIMAP3,589781.9461970517
15665,GATA2,TMEM273,584000.268278209
34947,MYC,ADGRD1,572082.4744350311
42025,SPI1,GM5111,563286.3593831686
15619,GATA2,TGTP1,547497.8330207912
14438,GATA2,HBA-A2,547367.5650360833
35124,MYC,C1QTNF12,545850.0546683439
14221,GATA2,F830016B08RIK,545545.3755046026
14437,GATA2,HBA-A1,545351.5357819699
15399,GATA2,SIGLECF,540104.9446284941
14355,GATA2,GM4951,530785.9166984687
15040,GATA2,PHETA2,524014.62530884816
36459,MYC,PLPPR3,517420.7607108175
14514,GATA2,IFI27L2A,515230.60943409894
35246,MYC,CES2G,504361.1662234227
15363,GATA2,SERPINA3F,503535.9633410653
6390,ESR1,ALDH1A7,503270.72385388426
13790,GATA2,BPIFB5,503245.4140605972
14529,GATA2,IIGP1,481938.18642162933
28183,IKZF1,GM5111,476342.95941478584
42488,SPI1,MS4A4B,475328.6783365173
13944,GATA2,CLCA3A1,473130.5865136708
35693,MYC,GM1966,471603.40518094716
14056,GATA2,CYP2J9,466759.863168356
13639,GATA2,ADGRG3,464035.1712704951
6658,ESR1,CLCA3A1,454949.2613480785
24239,HDAC2,GM5111,447059.6754264402
6922,ESR1,F830016B08RIK,439751.3850851296
13611,GATA2,ABCG3,435478.36203975056
15620,GATA2,TGTP2,418180.11961282516
15364,GATA2,SERPINA3G,416994.9393248316
14028,GATA2,CTLA2A,416145.5235656883
36041,MYC,LY6C2,413826.0404226115
8203,ESR1,SULT1A1,409949.0756923076
14842,GATA2,NAIP5,409895.51441838004
14125,GATA2,DRC7,405397.2431364686
35093,MYC,BC035044,404756.66951747495
34971,MYC,ALDH1A7,402270.5674709444
36942,MYC,SULT1A1,398903.1679185744
14327,GATA2,GBP8,398029.86155206285
301,CBFB,CES2G,395740.4275228789
14029,GATA2,CTLA2B,395481.1035376082
42327,SPI1,LBHD1,390190.1789780011
14775,GATA2,MMRN1,388689.082233447
14407,GATA2,GSTT1,386255.1198761807
35692,MYC,GM12250,385217.6602947039
13851,GATA2,CCL6,384735.64718370273
36739,MYC,SERPINA3G,383518.9523812057
36136,MYC,MNDAL,382847.0306926385
35862,MYC,IFI27L2A,372266.0478517307
41272,SPI1,ADGRG3,370302.0490498738
42273,SPI1,JCHAIN,366428.43685088516
15716,GATA2,TRIM30D,361712.0126641204
42197,SPI1,IFITM1,359678.64213219174
41270,SPI1,ADGRD1,355664.20834335726
14257,GATA2,FCGR3,354105.8765422439
37005,MYC,TGTP2,352284.5582818687
40809,SATB1,SERPINB6B,351803.5474073777
7046,ESR1,GM12185,350575.75909500325
40228,SATB1,IFI27L2A,349235.2185617039
14685,GATA2,LY6A,346508.42294979095
34948,MYC,ADGRG1,343181.0978553666
41008,SATB1,TMEM273,341861.7972420989
7407,ESR1,MCPT8,340715.93639989616
15059,GATA2,PIRB,334195.60479648307
