,cell
0,LT_HSC_113
1,LT_HSC_173
2,LT_HSC_112
3,LT_HSC_172
4,LT_HSC_065
5,LT_HSC_174
6,LT_HSC_036
7,LT_HSC_195
8,LT_HSC_068
10,LT_HSC_146
11,LT_HSC_058
12,LT_HSC_194
14,LT_HSC_131
15,LT_HSC_164
16,LT_HSC_188
18,LT_HSC_125
20,LT_HSC_075
21,LT_HSC_210
22,LT_HSC_169
23,LT_HSC_167
25,LT_HSC_197
26,LT_HSC_081
28,LT_HSC_111
29,LT_HSC_165
30,LT_HSC_163
31,LT_HSC_057
32,LT_HSC_176
33,LT_HSC_110
35,LT_HSC_200
38,LT_HSC_212
39,LT_HSC_055
40,LT_HSC_115
41,LT_HSC_206
45,LT_HSC_183
46,LT_HSC_147
47,LT_HSC_214
49,LT_HSC_090
51,LT_HSC_073
54,LT_HSC_201
56,LT_HSC_179
58,LT_HSC_033
59,LT_HSC_213
60,LT_HSC_074
61,LT_HSC_076
62,LT_HSC_137
63,LT_HSC_177
66,LT_HSC_117
67,LT_HSC_130
68,LT_HSC_071
69,LT_HSC_170
71,LT_HSC_016
73,LT_HSC_138
74,LT_HSC_069
76,LT_HSC_123
79,LT_HSC_184
80,LT_HSC_124
82,LT_HSC_050
87,LT_HSC_207
89,LT_HSC_012
90,LT_HSC_022
92,LT_HSC_078
94,LT_HSC_041
95,LT_HSC_066
96,LT_HSC_208
100,LT_HSC_215
101,LT_HSC_126
102,LT_HSC_080
103,LT_HSC_004
104,LT_HSC_072
105,LT_HSC_171
107,LT_HSC_018
108,LT_HSC_093
109,LT_HSC_023
110,LT_HSC_198
113,LT_HSC_193
114,LT_HSC_161
116,LT_HSC_052
117,LT_HSC_152
118,LT_HSC_054
119,LT_HSC_009
120,LT_HSC_034
121,LT_HSC_014
123,LT_HSC_148
124,LT_HSC_046
128,LT_HSC_187
133,LT_HSC_028
135,LT_HSC_015
137,LT_HSC_060
138,LT_HSC_013
147,LT_HSC_166
149,LT_HSC_001
150,LT_HSC_150
151,LT_HSC_156
153,LT_HSC_089
155,LT_HSC_180
162,LT_HSC_086
163,LT_HSC_043
165,LT_HSC_192
173,LT_HSC_085
176,LT_HSC_094
179,LT_HSC_120
182,LT_HSC_191
196,LT_HSC_211
197,LT_HSC_139
198,LT_HSC_128
207,LT_HSC_145
211,LT_HSC_158
220,LT_HSC_039
223,LT_HSC_021
224,LT_HSC_149
239,LT_HSC_051
243,LT_HSC_017
244,LT_HSC_132
248,LT_HSC_103
265,LT_HSC_140
269,LT_HSC_109
287,LT_HSC_031
313,LT_HSC_116
332,LT_HSC_002
344,LT_HSC_062
361,LT_HSC_144
374,LT_HSC_006
583,LT_HSC_106
604,LT_HSC_088
653,LT_HSC_070
659,LT_HSC_056
736,LT_HSC_045
839,LT_HSC_010
854,LT_HSC_040
869,LT_HSC_142
9,HSPC_095
13,HSPC_221
17,HSPC_386
19,HSPC_020
24,HSPC_740
34,HSPC_848
36,HSPC_502
37,HSPC_556
42,HSPC_087
43,HSPC_594
44,HSPC_681
48,HSPC_057
50,HSPC_724
52,HSPC_834
53,HSPC_665
55,HSPC_066
57,HSPC_590
64,HSPC_322
65,HSPC_742
70,HSPC_399
72,HSPC_191
75,HSPC_760
77,HSPC_738
78,HSPC_849
81,HSPC_640
83,HSPC_639
84,HSPC_390
85,HSPC_818
86,HSPC_729
88,HSPC_578
91,HSPC_120
93,HSPC_374
97,HSPC_457
98,HSPC_804
99,HSPC_520
106,HSPC_554
111,HSPC_821
112,HSPC_135
115,HSPC_749
122,HSPC_761
125,HSPC_719
126,HSPC_514
127,HSPC_597
129,HSPC_641
130,HSPC_075
131,HSPC_786
132,HSPC_083
134,HSPC_521
136,HSPC_359
139,HSPC_406
140,HSPC_598
141,HSPC_546
142,HSPC_822
143,HSPC_423
144,HSPC_363
145,HSPC_701
146,HSPC_732
148,HSPC_589
152,HSPC_735
154,HSPC_798
156,HSPC_200
157,HSPC_669
158,HSPC_202
159,HSPC_585
160,HSPC_431
161,HSPC_759
164,HSPC_772
166,HSPC_783
167,HSPC_512
168,HSPC_111
169,HSPC_595
170,HSPC_547
171,HSPC_460
172,HSPC_733
174,HSPC_545
