,Gene1,Gene2,weights_combined
40334,SPI1,CLDN13,764775.174961108
11814,GATA2,CES2G,579193.2301056352
12114,GATA2,F830016B08RIK,422199.3798735004
13292,GATA2,SIGLECF,401150.79885060707
13558,GATA2,TMEM273,398161.27728897263
41104,SPI1,LY6G,384580.13963822153
12331,GATA2,HBA-A2,364058.2366612225
11837,GATA2,CLCA3A1,361835.96498788387
12248,GATA2,GM4951,361386.3078770625
12330,GATA2,HBA-A1,359967.6337076328
30662,MYC,ADGRD1,353890.0195350759
11683,GATA2,BPIFB5,350402.14621572
31660,MYC,JCHAIN,344061.17236324784
13256,GATA2,SERPINA3F,344035.2089991589
12422,GATA2,IIGP1,343225.30751800875
40006,SPI1,ADGRL4,343008.39528500574
23888,IKZF1,GIMAP3,336061.87467963144
12933,GATA2,PHETA2,315075.65522007045
12150,GATA2,FCGR3,313923.78292287333
30664,MYC,ADGRG3,304564.812998776
11949,GATA2,CYP2J9,303010.84024492174
11504,GATA2,ABCG3,301299.3104239012
44702,STAT3,WFDC18,299537.3431222414
11532,GATA2,ADGRG3,293554.15620830713
31583,MYC,IFITM1,284711.44604830537
6366,ESR1,ADGRD1,282172.78379613813
12300,GATA2,GSTT1,278354.1898175313
12018,GATA2,DRC7,276596.97611080616
30839,MYC,C1QTNF12,273672.90653449344
32174,MYC,PLPPR3,271242.3855909804
11744,GATA2,CCL6,268324.56202657823
12735,GATA2,NAIP5,265474.30649381
23898,IKZF1,GM5111,261064.00001831463
12668,GATA2,MMRN1,259230.6958193561
12407,GATA2,IFI27L2A,256751.41737766302
30961,MYC,CES2G,256626.16120953663
22284,HNF4A,LBHD1,253879.1128431824
13512,GATA2,TGTP1,252217.42139190316
31408,MYC,GM1966,246614.1729526562
32657,MYC,SULT1A1,233999.14216297178
38961,SATB1,IFI27L2A,226612.66696128083
12249,GATA2,GM973,225094.47951390856
13257,GATA2,SERPINA3G,224106.35103062546
11921,GATA2,CTLA2A,222980.81180291742
39542,SATB1,SERPINB6B,218245.79683607997
13609,GATA2,TRIM30D,216627.55980277256
12220,GATA2,GBP8,213067.08941630647
12323,GATA2,HACD4,210785.20924930627
12952,GATA2,PIRB,209784.81194955658
12578,GATA2,LY6A,209174.10417965538
11922,GATA2,CTLA2B,206165.96992572307
31407,MYC,GM12250,204960.78987735757
39741,SATB1,TMEM273,203262.41037281186
31577,MYC,IFI27L2A,200354.49961675276
6390,ESR1,ALDH1A7,200322.5751973008
31756,MYC,LY6C2,199978.85110306295
30808,MYC,BC035044,198932.17189674437
31755,MYC,LY6A,196638.80006150698
32719,MYC,TGTP1,196470.29631063665
7407,ESR1,MCPT8,196044.24667303025
40758,SPI1,GM5111,195127.0451426018
13513,GATA2,TGTP2,194307.2112193265
6922,ESR1,F830016B08RIK,193137.67832079236
28602,MEIS1,LY6G,192194.1296469155
12846,GATA2,NXPE2,191634.28497041322
38756,SATB1,F830016B08RIK,188961.9717856738
11906,GATA2,CRYZL2,186579.23334678556
11488,GATA2,6720489N17RIK,186421.07533549046
13729,GATA2,VWF,183883.26566206932
30686,MYC,ALDH1A7,183598.24013388134
32454,MYC,SERPINA3G,181207.79422181816
12247,GATA2,GM3604,180279.9441897983
12679,GATA2,MPL,179290.33945868016
11539,GATA2,AFDN,179121.02979144233
31851,MYC,MNDAL,178229.21944717568
32720,MYC,TGTP2,177966.39338662932
12715,GATA2,MYL10,177633.25126389874
12690,GATA2,MS4A6B,177317.23448073457
6658,ESR1,CLCA3A1,176196.31976546752
11684,GATA2,BPIFC,175083.9707458138
41221,SPI1,MS4A4B,172230.58111476697
11531,GATA2,ADGRG1,172036.8156707294
12639,GATA2,METTL27,171207.32398182302
11957,GATA2,D630039A03RIK,169957.00191346783
5256,ELF1,MS4A4B,169899.19539745493
13778,GATA2,ZFP275,167176.80830497664
31895,MYC,MYL10,167055.54620384576
12851,GATA2,OASL2,166124.64258452688
13579,GATA2,TNFRSF26,164653.0928085207
13605,GATA2,TRIM12A,164084.54787374465
12420,GATA2,IGSF6,162953.46274200786
12343,GATA2,HDGFL3,162640.647820702
38502,SATB1,CCL9,161433.58639463247
8203,ESR1,SULT1A1,161255.89053268998
11845,GATA2,CLEC1A,161183.8405737507
12421,GATA2,IGTP,160522.7907577467
41060,SPI1,LBHD1,160369.4022621147
30663,MYC,ADGRG1,160243.90189951475
30886,MYC,CCL9,160239.19934908027
12917,GATA2,PDZK1IP1,159720.3702622469
12691,GATA2,MS4A6C,158805.74495663994
13802,GATA2,ZFP808,157682.5397964548
38784,SATB1,FCGR3,157170.0149385738
30823,MYC,BPIFB5,156998.90955602707
11692,GATA2,BTNL9,156658.741973591
24054,IKZF1,IFITM1,156433.69894406607
40003,SPI1,ADGRD1,155567.53343526137
31498,MYC,HBA-A1,155531.18413759352
13546,GATA2,TMEM176A,154824.4840893152
38552,SATB1,CHIL5,152431.45692192402
31499,MYC,HBA-A2,151597.7203237669
31075,MYC,CTLA2B,151252.8321743201
12895,GATA2,PBLD2,150881.28647697926
13166,GATA2,RIPOR2,150624.89813677184
30967,MYC,CHIL5,150112.5153703393
32121,MYC,PHETA2,149791.0366203081
11671,GATA2,BC005561,149595.07562679765
12068,GATA2,EMCN,149412.12064173367
7362,ESR1,LY6C2,148651.38332277513
41006,SPI1,JCHAIN,148649.5114905595
12410,GATA2,IFI47,147371.25788309134
12892,GATA2,PATJ,147296.59764630123
12713,GATA2,MYCT1,146858.66074633208
11648,GATA2,ATP5B,146464.6521941015
12551,GATA2,LGALS9,145857.52532266494
32755,MYC,TMEM176A,145468.28172889378
32032,MYC,OASL2,144336.99537203854
13608,GATA2,TRIM30A,143834.52715775554
12406,GATA2,IFI27,143019.60842889597
30905,MYC,CD24A,141819.9164947042
30986,MYC,CLCA3A1,141799.6076779927
13805,GATA2,ZFP932,141726.36545220306
11727,GATA2,CASP12,141089.6238522388
12633,GATA2,MESD,140257.78812116195
12444,GATA2,INKA1,139610.0943582056
12707,GATA2,MUC13,139154.0634476102
32360,MYC,RIPOR2,139084.104426694
12278,GATA2,GPR171,138467.51843250994
13145,GATA2,RETREG1,137886.5550615544
7046,ESR1,GM12185,137378.74225201755
10602,GATA1,NXPE2,136733.6550477731
13094,GATA2,QARS,136435.75255241842
13245,GATA2,SELENOP,136401.07070294357
30782,MYC,ATP5B,135814.87586173633
38848,SATB1,GM12185,135807.49522363555
12132,GATA2,FAM234B,135768.39875917308
31580,MYC,IFI47,135658.7615225876
11651,GATA2,ATP5G3,134913.75100918656
24859,IKZF1,SERPINB6B,134682.0936456189
31576,MYC,IFI27,134454.44352395742
11721,GATA2,CAR1,134420.15557597906
12236,GATA2,GGTA1,134295.08347055342
31729,MYC,LGALS9,134270.73399874268
32453,MYC,SERPINA3F,134075.43604567152
19939,HDAC2,GIMAP3,133911.49206575367
13056,GATA2,PRSS57,133093.55737793332
12529,GATA2,KYAT1,132847.8718345296
11656,GATA2,ATPIF1,132604.74977554203
13793,GATA2,ZFP61,132257.12333434343
31060,MYC,CRYZL2,132254.5542572471
13155,GATA2,RGS18,131576.5730824109
13601,GATA2,TREML2,131463.93936245987
40005,SPI1,ADGRG3,130682.70006545649
11492,GATA2,A430033K04RIK,130438.82488612161
13785,GATA2,ZFP39,129777.50575463417
13630,GATA2,TSPOAP1,129740.95864607052
31441,MYC,GPR171,129595.95961766224
12272,GATA2,GP9,129569.77374509635
8345,ESR1,TREM3,128881.05285881442
13810,GATA2,ZFP952,128823.79977999
12968,GATA2,PLCB2,128619.75839003969
13184,GATA2,ROBO4,128549.66654182004
31815,MYC,MESD,128375.88032361987
13191,GATA2,RPL41,128232.06378969799
32819,MYC,TRIM30A,128093.39140109201
32756,MYC,TMEM176B,127542.39201639373
13332,GATA2,SLC34A2,127359.23225725746
38850,SATB1,GM4951,127153.32417608707
13804,GATA2,ZFP930,127069.9974027214
11890,GATA2,CPA3,126980.8539777123
32442,MYC,SELENOP,126810.66741733329
12966,GATA2,PLAC8,126682.95115446941
32339,MYC,RETREG1,126616.36423454637
11780,GATA2,CD93,126197.91396884591
11483,GATA2,2210016L21RIK,126118.68534348533
12393,GATA2,I830077J02RIK,125993.16437892067
13228,GATA2,SCARF1,125835.6946183054
11881,GATA2,COQ8A,125691.34151919704
31616,MYC,INKA1,125683.30846523654
11490,GATA2,9530068E07RIK,125632.8402114116
7101,ESR1,GSTT1,125469.92317971522
12409,GATA2,IFI44,125328.13467855069
12847,GATA2,OAS1B,125296.00633884447
7206,ESR1,IFITM6,125186.39020143622
13771,GATA2,ZFP101,125022.80074289517
32155,MYC,PLAC8,124989.59184248986
30785,MYC,ATP5G3,124986.03909147481
11760,GATA2,CD27,124685.24869570561
30861,MYC,CAR1,124543.71513055335
13774,GATA2,ZFP160,124087.20872817228
12681,GATA2,MPO,123646.29938323806
32349,MYC,RGS18,123500.08483056043
31066,MYC,CSF3R,123366.65642152962
31893,MYC,MYCT1,123238.35689305508
39326,SATB1,PIRB,123185.56400190979
12489,GATA2,JPT1,122390.72067563258
13505,GATA2,TFEC,122074.89341077155
12238,GATA2,GIMAP1,121995.76453188632
12930,GATA2,PHACTR2,121846.2345907079
40930,SPI1,IFITM1,121837.68784030969
12552,GATA2,LHCGR,121804.55053866439
31862,MYC,MPO,121768.82280137755
13811,GATA2,ZFP954,121722.06020356031
31490,MYC,HACD4,121703.21963899775
30791,MYC,ATPIF1,121534.22496253262
30926,MYC,CD93,121441.3237532626
11650,GATA2,ATP5G1,121338.92401714154
31396,MYC,GGTA1,121148.1249013112
11649,GATA2,ATP5F1,120965.41336559286
12219,GATA2,GBP7,120954.76044202682
12490,GATA2,JPT2,120588.6609535957
13690,GATA2,USF3,120577.25993146462
12191,GATA2,FSTL1,120238.92986176745
13412,GATA2,SQOR,120136.03139780932
11912,GATA2,CSF3R,120118.85505475622
31225,MYC,EMCN,120117.68499690507
13057,GATA2,PRTN3,120103.43424966904
12704,GATA2,MTREX,119904.38018348558
32532,MYC,SLC34A2,119455.19382580709
32386,MYC,RPL41,119307.16683987807
12281,GATA2,GPR4,119011.31009119908
11535,GATA2,ADORA2A,118964.6786139788
11729,GATA2,CASP4,118939.58240078391
24048,IKZF1,IFI27L2A,118749.66232925517
11801,GATA2,CELA1,118687.05424917201
13144,GATA2,RESF1,118337.66229535994
32812,MYC,TREML2,118073.61293016768
31466,MYC,GSTT1,117989.8196825908
13106,GATA2,RAB7B,117692.89110413098
13105,GATA2,RAB44,117666.75752759256
13520,GATA2,TIE1,117576.4969420597
32113,MYC,PGLYRP2,117558.98079676894
30906,MYC,CD27,117508.59632782817
13356,GATA2,SLC7A4,117454.12796611569
13744,GATA2,WLS,117393.14297109436
301,CBFB,CES2G,117378.02402883774
40181,SPI1,C1QTNF12,117370.80555514456
13033,GATA2,PRELID3B,117041.21745680869
13728,GATA2,VSIR,116831.98925014082
30621,MYC,9530068E07RIK,116729.08399784163
30613,MYC,2210016L21RIK,116650.88471822663
7048,ESR1,GM4951,116587.74514440246
32820,MYC,TRIM30D,116400.06049656386
41526,SPI1,PLPPR3,116399.85170794693
13500,GATA2,TENT5A,116037.96740786442
31821,MYC,METTL27,115570.26705039338
30807,MYC,BC005561,115558.7819752938
13010,GATA2,PPFIA4,115460.67470720127
23593,IKZF1,CTLA2A,115306.18587395997
31871,MYC,MS4A6B,115230.93411162467
12921,GATA2,PF4,115201.93235017586
23621,IKZF1,CYP2J9,115084.42334975727
32157,MYC,PLCB2,115076.91266580114
32251,MYC,PRTN3,115039.52480602819
23365,IKZF1,BC035044,114844.28367998304
32289,MYC,QARS,114416.38519708239
13218,GATA2,SAMD9L,114189.44577761534
13803,GATA2,ZFP871,113867.43423128338
31663,MYC,JPT1,113601.77168706711
11779,GATA2,CD9,113570.16978548265
12900,GATA2,PCP4L1,113504.99543849714
12983,GATA2,PLPP1,113430.0559115761
13146,GATA2,RETREG2,113403.68294349688
11538,GATA2,AFAP1L1,113313.37248472635
31306,MYC,FCGR3,113289.63344243182
13612,GATA2,TRIM47,113252.68672913102
11851,GATA2,CLIP3,113248.43752928164
12585,GATA2,LYZ2,113195.79133959854
39180,SATB1,NAIP5,113062.46590714827
13304,GATA2,SLC16A2,113057.30333323996
25135,IKZF1,TMEM273,112882.27679351301
40305,SPI1,CES2G,112880.56139175317
30783,MYC,ATP5F1,112865.34453757224
30784,MYC,ATP5G1,112647.42524985614
32118,MYC,PHACTR2,112138.02534977047
12555,GATA2,LIMD2,111986.6645655577
32816,MYC,TRIM12A,111938.58036733267
13324,GATA2,SLC28A2,111889.73094082472
13762,GATA2,ZBTB38,111847.6578775274
11943,GATA2,CYBC1,111835.5386807739
12216,GATA2,GBP2,111722.82516364254
11900,GATA2,CRIP1,111295.12225204303
11482,GATA2,2210016F16RIK,111216.48213088697
13291,GATA2,SIGIRR,110810.50400161592
11778,GATA2,CD84,110779.97160551511
12648,GATA2,MFSD14B,110714.73741064442
12587,GATA2,LZTS1,110650.64032559255
12121,GATA2,FAM107B,110385.69373780115
12538,GATA2,LBP,110346.4235504608
13102,GATA2,RAB38,110336.72819305799
13806,GATA2,ZFP934,109871.46075884637
13295,GATA2,SLA,109697.87196781655
12478,GATA2,ITIH5,109579.32328187798
12925,GATA2,PGLYRP1,109526.04868940022
31579,MYC,IFI44,109509.55803879327
12260,GATA2,GNG11,109468.34535341752
25090,IKZF1,TGTP1,109452.53387805448
13584,GATA2,TNS2,109364.96810637777
12449,GATA2,INSRR,109270.32865057756
13722,GATA2,VPS26C,109114.6643011659
24215,IKZF1,LY6A,108960.24338184223
13360,GATA2,SLFN2,108955.57864765018
31053,MYC,CRIP1,108290.5510296027
32104,MYC,PDZK1IP1,108122.58988070556
11677,GATA2,BIN2,108085.14103061774
38580,SATB1,CMAH,108000.99738607784
