,tf
0,ABL1
1,ABTB1
2,AHCTF1
3,APBB1
4,BATF2
5,BLZF1
6,BMI1
7,BTAF1
8,BTG2
9,BUB3
10,CBFB
11,CBX7
12,CD7
13,CENPK
14,CITED4
15,CNOT7
16,CREB5
17,CSRP3
18,CTR9
19,DACH1
20,DCP1A
21,DDX20
22,DDX58
23,DEK
24,E2F4
25,E2F6
26,E2F8
27,EGR1
28,ELF1
29,ELL2
30,ELP2
31,ELP3
32,EPOR
33,ERCC8
34,ESR1
35,EYA1
36,EYA2
37,FEM1B
38,FOS
39,FOXO1
40,GATA1
41,GATA2
42,GFI1
43,GFI1B
44,GTF2E1
45,GTF2F1
46,GTF2H1
47,GTF3C3
48,H1F0
49,HCFC1
50,HCLS1
51,HDAC11
52,HDAC2
53,HDAC7
54,HDGF
55,HIF3A
56,HIST1H1C
57,HLF
58,HMGB2
59,HNF4A
60,HNRNPAB
61,HOXA9
62,IKZF1
63,IKZF2
64,IRF1
65,IRF5
66,IRF6
67,IRF7
68,IRF8
69,IRF9
70,JARID2
71,JUN
72,KLF1
73,KLF3
74,KLF6
75,LMO4
76,LZTS1
77,MAML3
78,MAPK1
79,MAPK9
80,MCM2
81,MCM3
82,MCM4
83,MCM5
84,MCM6
85,MCM7
86,MECOM
87,MED16
88,MEF2C
89,MEIS1
90,MIS18BP1
91,MLLT3
92,MXD3
93,MYB
94,MYC
95,MYCN
96,MYNN
97,NAP1L3
98,NCOA6
99,NDN
100,NFAT5
101,NFATC1
102,NFATC2
103,NFE2
104,NFE2L2
105,NFIA
106,NFKBIA
107,NFXL1
108,NOTCH1
109,NR2C1
110,NR3C2
111,NRF1
112,NUPR1
113,ORC2
114,PA2G4
115,PBX1
116,PGR
117,PHB2
118,PHF10
119,PML
120,POLR1B
121,POLR2B
122,POLR3F
123,PRDM16
124,PRDM4
125,PRDM5
126,PWP1
127,RAD51
128,RARB
129,RB1
130,REL
131,REXO4
132,RNF19A
133,RNF4
134,RORA
135,RORC
136,RPS6KA5
137,RUNX1T1
138,RUNX2
139,RUVBL2
140,SATB1
141,SLA2
142,SMAD2
143,SMARCA2
144,SNAPC3
145,SNRPB
146,SOX18
147,SP4
148,SPI1
149,SPO11
150,SRSF1
151,STAT3
152,TAF1
153,TAF12
154,TCF12
155,TCF19
156,TEAD2
157,TLE2
158,TOPORS
159,TOX4
160,TRIB3
161,TRPS1
162,TSC22D3
163,TTF1
164,TTF2
165,VDR
166,XAB2
167,XPC
168,XRCC3
169,XRCC5
170,XRCC6
171,YBX1
172,ZBTB20
173,ZBTB38
174,ZBTB43
175,ZDHHC13
176,ZDHHC6
177,ZEB2
178,ZFP110
179,ZFP143
180,ZFP275
181,ZFP36
182,ZFP467
183,ZFP592
184,ZSCAN21
185,ZZZ3
