,gene
0,1110008L16RIK
1,1700006J14RIK
2,1700017B05RIK
3,1700066M21RIK
4,2210016F16RIK
5,2210016L21RIK
6,2310057M21RIK
7,2610021A01RIK
8,2610035D17RIK
9,2610301B20RIK
10,2610307P16RIK
11,2810468N07RIK
12,4833407H14RIK
13,4833439L19RIK
14,4930555A03RIK
15,4931406C07RIK
16,4933404O12RIK
17,5430427O19RIK
18,6720489N17RIK
19,8430419K02RIK
20,9030619P08RIK
21,9430015G10RIK
22,9530068E07RIK
23,9530082P21RIK
24,A130010J15RIK
25,A430033K04RIK
26,A630052C17RIK
27,AA474408
28,AAR2
29,ABCB10
30,ABCB4
31,ABCB8
32,ABCC5
33,ABCD1
34,ABCD2
35,ABCD3
36,ABCE1
37,ABCF3
38,ABCG2
39,ABCG3
40,ABCG4
41,ABHD13
42,ABHD16A
43,ABHD17B
44,ABI1
45,ABITRAM
46,ABL1
47,ABL2
48,ABLIM1
49,ABR
50,ABTB1
51,AC149090.1
52,AC174780.1
53,ACAA2
54,ACAP1
55,ACCS
56,ACLY
57,ACOX1
58,ACOX3
59,ACSL5
60,ACSS1
61,ACSS2
62,ADA
63,ADAL
64,ADAM17
65,ADAM22
66,ADAMTS10
67,ADAMTSL5
68,ADAT1
69,ADCY7
70,ADD2
71,ADGRD1
72,ADGRG1
73,ADGRG3
74,ADGRL4
75,ADK
76,ADO
77,ADORA2A
78,ADSL
79,ADSSL1
80,AFAP1L1
81,AFDN
82,AFF3
83,AFG3L2
84,AGPS
85,AHCTF1
86,AHCYL1
87,AI504432
88,AI506816
89,AI597479
90,AK1
91,AK3
92,AKNA
93,ALAD
94,ALAS1
95,ALCAM
96,ALDH18A1
97,ALDH1A1
98,ALDH1A7
99,ALDH9A1
100,ALDOC
101,ALG11
102,ALG9
103,ALKBH8
104,ALS2CL
105,AMIGO2
106,AMPD2
107,AMPD3
108,ANAPC2
109,ANAPC4
110,ANGPT1
111,ANK
112,ANKFY1
113,ANKLE1
114,ANKRD13D
115,ANKRD27
116,ANKRD33B
117,ANKRD44
118,ANLN
119,ANO10
120,ANTXR2
121,ANXA1
122,ANXA2
123,ANXA3
124,ANXA4
125,ANXA5
126,ANXA6
127,ANXA9
128,AP1B1
129,AP1G2
130,AP1M1
131,AP1S2
132,AP3S1
133,AP5M1
134,AP5Z1
135,APBB1
136,APEH
137,API5
138,APLP2
139,APOE
140,APP
141,APPL1
142,APPL2
143,AQP1
144,AQP9
145,ARAP1
146,ARCN1
147,ARFGEF2
148,ARHGAP12
149,ARHGAP15
150,ARHGAP18
151,ARHGAP19
152,ARHGAP25
153,ARHGAP27
154,ARHGAP29
155,ARHGAP4
156,ARHGDIB
157,ARHGEF18
158,ARHGEF28
159,ARHGEF3
160,ARHGEF39
161,ARHGEF6
162,ARID2
163,ARID5A
164,ARL11
165,ARL6IP6
166,ARL8B
167,ARMC8
168,ARMT1
169,ARPP21
170,ARRDC4
171,ART4
172,ARVCF
173,ASAH1
174,ASB8
175,ASF1B
176,ASNS
177,ASPH
178,ASPM
179,ATAD1
180,ATAD2
181,ATG12
182,ATG16L1
183,ATG16L2
184,ATG4B
185,ATL2
186,ATP10A
187,ATP11A
188,ATP11C
189,ATP13A1
190,ATP1A3
191,ATP1B2
192,ATP1B3
193,ATP2A3
194,ATP5B
195,ATP5F1
196,ATP5G1
197,ATP5G3
198,ATP6AP1
199,ATP6AP2
200,ATP7B
201,ATP8A1
202,ATP8B4
203,ATPIF1
204,ATRN
205,AURKA
206,AURKB
207,AW112010
208,AXL
209,AZIN1
210,B230219D22RIK
211,B2M
212,B3GALNT2
213,B3GNT5
214,B4GALT4
215,B4GALT6
216,BACE1
217,BAG2
218,BANK1
219,BAP1
220,BATF2
221,BBS12
222,BC005561
223,BC035044
224,BCAP29
225,BCAS3
226,BCL2
227,BCLAF3
228,BDH2
229,BE692007
230,BGN
231,BID
232,BIN2
233,BIRC5
234,BLNK
235,BLVRB
236,BLZF1
237,BMI1
238,BMPR2
239,BPIFB5
240,BPIFC
241,BRAT1
242,BRMS1L
243,BSG
244,BTAF1
245,BTBD10
246,BTBD19
247,BTG2
248,BTK
249,BTLA
250,BTNL9
251,BTRC
252,BUB1
253,BUB1B
254,BUB3
255,BYSL
256,BZW1
257,C030034L19RIK
258,C130089K02RIK
259,C1QBP
260,C1QTNF12
261,C1RL
262,C230085N15RIK
263,C3
264,C330018D20RIK
265,CACFD1
266,CACYBP
267,CAD
268,CADPS2
269,CALCRL
270,CALR
271,CALU
272,CAMK1
273,CAMK1D
274,CAMK2B
275,CAMK2D
276,CAMKK1
277,CAMSAP2
278,CAND2
279,CANX
280,CAPG
281,CAPN2
282,CAPN7
283,CAR1
284,CAR2
285,CARD11
286,CARD6
287,CARHSP1
288,CASP1
289,CASP12
290,CASP3
291,CASP4
292,CASP9
293,CAST
294,CAT
295,CAV2
296,CAVIN2
297,CBFB
298,CBX5
299,CBX7
300,CCDC112
301,CCDC136
302,CCDC137
303,CCDC186
304,CCDC50
305,CCDC93
306,CCL3
307,CCL4
308,CCL6
309,CCL9
310,CCNA2
311,CCNB1
312,CCNB2
313,CCND3
314,CCNE1
315,CCNE2
316,CCNF
317,CCNG1
318,CCNG2
319,CCR2
320,CCR7
321,CCR9
322,CCT2
323,CCT6A
324,CCT8
325,CD1D1
326,CD200
327,CD200R1
328,CD244A
329,CD24A
330,CD27
331,CD274
332,CD300A
333,CD33
334,CD34
335,CD38
336,CD44
337,CD48
338,CD52
339,CD53
340,CD55
341,CD63
342,CD63-PS
343,CD68
344,CD69
345,CD7
346,CD74
347,CD79B
348,CD81
349,CD82
350,CD84
351,CD9
352,CD93
353,CD99L2
354,CDC20
355,CDC42EP4
356,CDC45
357,CDC6
358,CDC7
359,CDCA3
360,CDCA4
361,CDCA5
362,CDCA7
363,CDCA8
364,CDCP1
365,CDK1
366,CDK17
367,CDK18
368,CDK19
369,CDK6
370,CDKN1A
371,CDKN1C
372,CDT1
373,CELA1
374,CENPA
375,CENPE
376,CENPF
377,CENPI
378,CENPK
379,CENPL
380,CENPO
381,CEP55
382,CEP70
383,CEPT1
384,CERK
385,CERS4
386,CERS5
387,CERS6
388,CES2G
389,CFP
390,CHAMP1
391,CHCHD10
392,CHCHD2
393,CHIC1
394,CHIL5
395,CHMP3
396,CHMP7
397,CHORDC1
398,CHP1
399,CHRNB1
400,CHST10
401,CHST11
402,CHST2
403,CHUK
404,CIP2A
405,CIPC
406,CISH
407,CITED4
408,CKAP2
409,CKAP2L
410,CKAP5
411,CKS1B
412,CKS2
413,CLCA3A1
414,CLCF1
415,CLCN3
416,CLCN4
417,CLDN12
418,CLDN13
419,CLDN15
420,CLEC12A
421,CLEC14A
422,CLEC1A
423,CLEC2I
424,CLEC4D
425,CLEC4E
426,CLEC5A
427,CLIC4
428,CLIP3
429,CLN5
430,CLPTM1L
431,CLPX
432,CLTC
433,CLU
434,CMAH
435,CMPK2
436,CNIH1
437,CNN2
438,CNN3
439,CNOT10
440,CNOT7
441,CNP
442,CNR2
443,CNRIP1
444,CNST
445,COA5
446,COBLL1
447,COG6
448,COG7
449,COL4A1
450,COL4A2
451,COL5A1
452,COLGALT1
453,COMT
454,COPB1
455,COPB2
456,COPG1
457,COPG2
458,COPS8
459,COQ8A
460,CORO1A
461,CORO2B
462,CORO7
463,COX4I1
464,COX6A1
465,COX6A2
466,COX6B1
467,COX7A2
468,COX7B
469,CPA3
470,CPNE8
471,CPOX
472,CPQ
473,CPT1A
474,CPT2
475,CPTP
476,CPXM1
477,CRACR2B
478,CRBN
479,CREB5
480,CREBRF
481,CRIP1
482,CRIP2
483,CRISPLD1
484,CRK
485,CRLF3
486,CRNKL1
487,CRY2
488,CRYZL2
489,CS
490,CSAD
491,CSE1L
492,CSF1R
493,CSF2RB
494,CSF3R
495,CSGALNACT1
496,CSGALNACT2
497,CSRP3
498,CST3
499,CST7
500,CSTF1
501,CSTF2
502,CTC1
503,CTLA2A
504,CTLA2B
505,CTNNA1
506,CTNNAL1
507,CTNND2
508,CTPS
509,CTR9
510,CTSB
511,CTSC
512,CTSD
513,CTSE
514,CTSF
515,CTSG
516,CTSH
517,CTSL
518,CTSO
519,CTSS
520,CTSW
521,CTSZ
522,CTTN
523,CUL2
524,CUL3
525,CUL4A
526,CX3CL1
527,CYB5R1
528,CYB5R3
529,CYBC1
530,CYC1
531,CYFIP2
532,CYP20A1
533,CYP26B1
534,CYP2J6
535,CYP2J9
536,CYP4V3
537,CYTH3
538,CYTH4
539,CYTIP
540,D10WSU102E
541,D1ERTD622E
542,D230025D16RIK
543,D630039A03RIK
544,D930016D06RIK
545,DACH1
546,DAPP1
547,DARS
548,DCAF11
549,DCAF13
550,DCAF4
551,DCK
552,DCP1A
553,DCTD
554,DDHD2
555,DDIAS
556,DDOST
557,DDX1
558,DDX11
559,DDX20
560,DDX21
561,DDX31
562,DDX39
563,DDX4
564,DDX58
565,DDX60
566,DECR1
567,DECR2
568,DEF8
569,DEK
570,DENND1C
571,DENND2D
572,DEPP1
573,DGKA
574,DGLUCY
575,DHFR
576,DHRS3
577,DHX32
578,DHX33
579,DHX35
580,DHX40
581,DIAPH2
582,DIS3L
583,DIS3L2
584,DKC1
585,DLST
586,DMD
587,DNAJC10
588,DNAJC11
589,DNAJC5
590,DNAJC9
591,DNM1L
592,DNPEP
593,DNTT
594,DOCK10
595,DOCK11
596,DOCK2
597,DOK2
598,DOP1B
599,DPH2
600,DPH6
601,DPP7
602,DPP8
603,DPY19L1
604,DPY19L3
605,DPY19L4
606,DRAM2
607,DRC7
608,DTL
609,DUS1L
610,DUSP1
611,DUSP2
612,DUSP5
613,DUSP6
614,DUT
615,DYM
616,DYNC2LI1
617,DYNLL1
618,DYNLT3
619,E2F4
620,E2F6
621,E2F8
622,E430014B02RIK
623,EAF1
624,EBI3
625,ECE1
626,ECT2
627,EDC3
628,EDEM1
629,EDRF1
630,EEF1AKNMT
631,EEF1E1
632,EEPD1
633,EFCC1
634,EFNA1
635,EFTUD2
636,EGR1
637,EHD3
638,EHHADH
639,EIF1A
640,EIF1AD
641,EIF2B1
642,EIF2S1
643,EIF3A
644,EIF3B
645,EIF3G
646,EIF4EBP1
647,EIF4ENIF1
648,EIF5A
649,ELAC2
650,ELANE
651,ELF1
652,ELL2
653,ELMO1
654,ELMO3
655,ELMOD2
656,ELOVL1
657,ELOVL5
658,ELP2
659,ELP3
660,EMB
661,EMCN
662,EMID1
663,EMILIN1
664,EMILIN2
665,EML4
666,EMP1
667,ENDOD1
668,ENG
669,ENPP4
670,ENPP5
671,EPB41L4B
672,EPB42
673,EPDR1
674,EPHX1
675,EPOR
676,EPRS
677,EPS15
678,EPS8
679,EPSTI1
680,EPX
681,ERCC4
682,ERCC8
683,ERGIC1
684,ERLIN1
685,ERLIN2
686,ERMAP
687,ERP29
688,ESAM
689,ESCO2
690,ESR1
691,ESYT2
692,ETF1
693,ETNK1
694,EVI2A
695,EXOC3
696,EXOC4
697,EXOC6B
698,EXT2
699,EYA1
700,EYA2
701,EZR
702,F10
703,F11R
704,F13A1
705,F2R
706,F2RL3
707,F630028O10RIK
708,F830016B08RIK
709,FAAH
710,FAAP100
711,FADS1
712,FADS3
713,FAM102A
714,FAM102B
715,FAM107B
716,FAM110C
717,FAM111A
718,FAM126A
719,FAM136A
720,FAM160B2
721,FAM168B
722,FAM171A1
723,FAM185A
724,FAM189B
725,FAM214A
726,FAM234B
727,FAM45A
728,FAM49A
729,FAM76B
730,FAM91A1
731,FAR1
732,FARSA
733,FARSB
734,FASTKD2
735,FASTKD3
736,FBXL4
737,FBXO3
738,FBXO30
739,FBXO34
740,FBXO5
741,FBXW11
742,FBXW5
743,FCER1G
744,FCGR2B
745,FCGR3
746,FCGRT
747,FCHO2
748,FCHSD2
749,FCRL1
750,FDFT1
751,FECH
752,FEM1A
753,FEM1B
754,FER
755,FES
756,FGD2
757,FGD4
758,FGD5
759,FGF3
760,FGFR1OP
761,FGFR3
762,FGFRL1
763,FGGY
764,FGL2
765,FHL1
766,FIGNL1
767,FKBP1A
768,FKBP4
769,FKBP9
770,FKTN
771,FLNA
772,FLNB
773,FLOT2
774,FLT3
775,FLVCR1
776,FMNL2
777,FMO5
778,FNDC3A
779,FNDC3B
780,FNTA
781,FOS
782,FOXO1
783,FOXRED1
784,FPGS
785,FRMD6
786,FRRS1
787,FSTL1
788,FTSJ1
789,FTSJ3
790,FTX
791,FUCA2
792,FUT4
793,FUT7
794,FUT8
795,FZR1
796,G2E3
797,G6PDX
798,GAA
799,GAB1
800,GABBR1
801,GABRE
802,GALK2
803,GALNS
804,GALNT11
805,GALNT6
806,GANAB
807,GARS
808,GAS2L3
809,GAS6
810,GATA1
811,GATA2
812,GATM
813,GBE1
814,GBP10
815,GBP2
816,GBP3
817,GBP4
818,GBP5
819,GBP7
820,GBP8
821,GBP9
822,GCAT
823,GCDH
824,GCLC
825,GCLM
826,GCNT2
827,GDA
828,GDAP2
829,GDF3
830,GEM
831,GEMIN5
832,GFI1
833,GFI1B
834,GFM1
835,GGT5
836,GGTA1
837,GHR
838,GIMAP1
839,GIMAP1OS
840,GIMAP3
841,GIMAP4
842,GIMAP5
843,GIMAP6
844,GIMAP8
845,GJA1
846,GK
847,GLIPR2
848,GLRX5
849,GM10039
850,GM10384
851,GM10419
852,GM11346
853,GM12185
854,GM12216
855,GM12250
856,GM12346
857,GM13461
858,GM14636
859,GM15446
860,GM15564
861,GM15915
862,GM17590
863,GM19331
864,GM19590
865,GM1966
866,GM20342
867,GM20559
868,GM26740
869,GM26917
870,GM28875
871,GM2A
872,GM30948
873,GM3604
874,GM37124
875,GM37645
876,GM40309
877,GM45837
878,GM4759
879,GM4951
880,GM5111
881,GM5431
882,GM8113
883,GM8203
884,GM8995
885,GM973
886,GMCL1
887,GMFB
888,GMNN
889,GMPR
890,GMPS
891,GNA11
892,GNA13
893,GNA14
894,GNAI3
895,GNB4
896,GNG11
897,GNG12
898,GNG2
899,GNL3
900,GNPDA1
901,GOLIM4
902,GOLM1
903,GOLPH3
904,GOLT1B
905,GORASP1
906,GOSR2
907,GP5
908,GP9
909,GPC1
910,GPKOW
911,GPR107
912,GPR146
913,GPR160
914,GPR171
915,GPR18
916,GPR180
917,GPR19
918,GPR4
919,GPR65
920,GPRASP1
921,GPRASP2
922,GPRC5B
923,GPSM1
924,GPSM2
925,GPX1
926,GPX3
927,GRAMD1A
928,GRIA3
929,GRINA
930,GRK3
931,GRN
932,GSAP
933,GSKIP
934,GSN
935,GSR
936,GSS
937,GSTM1
938,GSTM5
939,GSTT1
940,GT(ROSA)26SOR
941,GTF2E1
942,GTF2F1
943,GTF2H1
944,GTF3C3
945,GUCD1
